10.42, 18.55, 139.15
10.47, 18.48, 138.66
10.53, 18.41, 138.13
10.58, 18.34, 137.61
10.63, 18.27, 137.07
10.68, 18.20, 136.57
10.73, 18.14, 136.10
10.78, 18.12, 135.91
10.84, 18.13, 136.05
10.89, 18.08, 135.62
10.94, 17.96, 134.76
10.99, 17.88, 134.18
11.04, 17.79, 133.48
11.09, 17.74, 133.06
11.14, 17.67, 132.59
11.19, 17.60, 132.03
11.25, 17.52, 131.45
11.30, 17.46, 130.98
11.36, 17.38, 130.41
11.41, 17.32, 129.94
11.46, 17.25, 129.45
11.51, 17.20, 129.01
11.57, 17.13, 128.49
11.62, 17.06, 128.00
11.68, 16.99, 127.50
11.74, 16.97, 127.29
11.80, 17.02, 127.67
11.86, 16.96, 127.23
11.91, 16.85, 126.40
11.96, 16.76, 125.73
12.01, 16.66, 125.01
12.06, 16.60, 124.57
12.11, 16.55, 124.18
12.16, 16.48, 123.67
12.21, 16.42, 123.17
12.26, 16.35, 122.69
12.31, 16.29, 122.24
12.36, 16.24, 121.81
12.41, 16.18, 121.36
12.46, 16.12, 120.93
12.51, 16.06, 120.47
12.57, 16.00, 120.02
12.62, 15.94, 119.59
12.67, 15.89, 119.18
12.72, 15.88, 119.15
12.77, 15.95, 119.67
12.82, 15.93, 119.54
12.87, 15.83, 118.74
12.92, 15.74, 118.10
12.97, 15.64, 117.31
13.02, 15.56, 116.76
13.08, 15.52, 116.43
13.13, 15.46, 115.97
13.18, 15.40, 115.53
13.23, 15.34, 115.07
13.28, 15.28, 114.66
13.33, 15.23, 114.25
13.38, 15.18, 113.88
13.43, 15.13, 113.48
13.49, 15.07, 113.02
13.54, 15.01, 112.65
13.59, 14.97, 112.28
13.64, 14.92, 111.91
13.70, 14.93, 112.00
13.75, 15.01, 112.63
13.80, 14.96, 112.25
13.85, 14.87, 111.54
13.91, 14.78, 110.87
13.96, 14.67, 110.03
14.01, 14.62, 109.70
14.07, 14.57, 109.28
14.12, 14.51, 108.84
14.17, 14.44, 108.35
14.23, 14.38, 107.89
14.28, 14.33, 107.54
14.33, 14.29, 107.18
14.38, 14.24, 106.82
14.43, 14.18, 106.38
14.49, 14.13, 106.00
14.54, 14.08, 105.65
14.59, 14.14, 106.08
14.64, 14.23, 106.79
14.69, 14.15, 106.17
14.74, 14.08, 105.61
14.79, 14.00, 105.06
14.84, 13.90, 104.25
14.89, 13.83, 103.75
14.95, 13.77, 103.31
15.00, 13.70, 102.77
15.05, 13.63, 102.25
15.10, 13.57, 101.81
15.15, 13.52, 101.45
15.20, 13.47, 101.09
15.25, 13.43, 100.76
15.30, 13.38, 100.36
15.35, 13.33, 100.00
15.41, 13.28, 99.64
15.46, 13.29, 99.69
15.51, 13.43, 100.76
15.56, 13.39, 100.46
15.61, 13.34, 100.08
15.67, 13.29, 99.69
15.72, 13.20, 99.06
15.78, 13.13, 98.54
15.83, 13.07, 98.09
15.88, 13.00, 97.54
15.93, 12.92, 96.96
15.98, 12.84, 96.36
16.03, 12.78, 95.89
16.08, 12.73, 95.53
16.13, 12.69, 95.21
16.18, 12.64, 94.85
16.23, 12.60, 94.50
16.28, 12.55, 94.14
16.33, 12.52, 93.92
16.39, 12.65, 94.90
16.44, 12.68, 95.15
16.49, 12.66, 94.98
16.54, 12.66, 94.98
16.59, 12.60, 94.55
16.65, 12.54, 94.05
16.70, 12.47, 93.59
16.75, 12.42, 93.15
16.80, 12.35, 92.65
16.85, 12.28, 92.11
16.90, 12.21, 91.57
16.95, 12.15, 91.12
17.00, 12.09, 90.71
17.05, 12.05, 90.38
17.11, 12.00, 90.00
17.16, 11.95, 89.67
17.21, 11.91, 89.35
17.26, 12.00, 90.05
17.31, 12.07, 90.57
17.36, 12.08, 90.60
17.41, 12.05, 90.41
17.46, 11.99, 89.94
17.52, 11.91, 89.39
17.57, 11.86, 88.94
17.62, 11.80, 88.55
17.67, 11.74, 88.11
17.72, 11.69, 87.67
17.77, 11.62, 87.18
17.83, 11.55, 86.66
17.88, 11.49, 86.24
17.93, 11.44, 85.81
17.98, 11.39, 85.42
18.03, 11.34, 85.07
18.08, 11.44, 85.84
18.13, 11.51, 86.33
18.19, 11.50, 86.31
18.24, 11.46, 85.97
18.29, 11.40, 85.50
18.34, 11.32, 84.91
18.39, 11.27, 84.55
18.44, 11.23, 84.22
18.49, 11.18, 83.86
18.55, 11.12, 83.45
18.60, 11.06, 82.99
18.65, 11.00, 82.52
18.70, 10.95, 82.14
18.75, 10.89, 81.73
18.80, 10.84, 81.32
18.85, 10.78, 80.91
18.90, 10.74, 80.55
18.95, 10.83, 81.24
19.00, 10.90, 81.78
19.06, 10.88, 81.65
19.11, 10.85, 81.37
19.16, 10.79, 80.93
19.21, 10.73, 80.47
19.27, 10.67, 80.06
19.32, 10.63, 79.76
19.37, 10.59, 79.45
19.42, 10.54, 79.07
19.47, 10.49, 78.68
19.52, 10.43, 78.28
19.57, 10.39, 77.94
19.63, 10.34, 77.60
19.68, 10.30, 77.26
19.73, 10.26, 76.94
19.78, 10.21, 76.57
19.83, 10.17, 76.28
19.88, 10.28, 77.15
